Managed Account;MAC;Device Name;IP Address;IPv6 Address;Device Type;Serial Number;Description;Active S/W Version;Duration;Status;Status Time;Status Time (Seconds);Height
Base Infrastructure;00:04:56:46:43:98;NOR.La Garita AP_1;10.65.184.154;N/A;ePMP Force 300-19R AP;E6XA09VLCLW8;43766-ZZZY698;4.6.1-RC26;0d 21h 39m;Online;0d 21h 40m;78037;N/A
Base Infrastructure;58:C1:7A:73:0B:48;SND.ELCARMEN-2-3;10.68.251.174;N/A;ePMP 3000L AP;E8XF0K1J9CSF;;4.6.2;0d 22h 16m;Offline;0d 21h 35m;77722;N/A
Base Infrastructure;00:04:56:46:A7:BE;TOL_VERGEL_10004145;10.67.207.76;N/A;ePMP Force 300-19R AP;;;4.6.1-RC14;0d 22h 53m;Offline;0d 14h 52m;53526;N/A
Base Infrastructure;BC:E6:7C:B1:3F:40;COR-BUENOS-AIRES;10.71.38.158;N/A;cnMatrix TX2020R-P;XTYA01QL7NDG;;4.1.0-300;1d 0h 55m;Online;1d 1h 6m;90396;N/A
Base Infrastructure;00:04:56:27:55:83;26841-ZGYO654-VICTORIA-ER-EL-LLA;10.68.246.25;N/A;ePMP Force 300C SM;E8WL0Z7R4W46;26841-ZGYO654;4.6.1;1d 1h 1m;Online;0d 23h 28m;84494;N/A
Base Infrastructure;00:04:56:46:AE:8E;GUJ.Cuatro Vias AP_10;10.70.95.4;N/A;ePMP Force 300-19R AP;E6XD01LHTHJ9;37651-VZVF935;4.6.1-RC26;1d 1h 15m;Online;1d 1h 39m;92357;N/A
Base Infrastructure;00:04:56:46:4D:BC;36960-KPWM629-PALESTINA-SEDE-REF;10.67.197.93;N/A;ePMP Force 300-19R SM;E6XA0C9VSL7N;36 960-KPWM629;4.6.2;1d 1h 43m;Online;0d 3h 28m;12533;N/A
Base Infrastructure;00:04:56:42:8A:76;48063-HPQZ172_ TOL.Santiago _La;10.66.102.13;N/A;ePMP Force 300-19R SM;E6VG0CCSQR5T;48063-HPQZ172;4.6.1-RC26;1d 2h 20m;Online;0d 21h 35m;77737;N/A
Base Infrastructure;00:04:56:42:3E:4E;TOL.Santiago _48063-HPQZ172;10.66.102.12;N/A;ePMP Force 300-19R AP;E6VE0F85T2JZ;48063-HPQZ172;4.6.1-RC26;1d 2h 33m;Online;0d 4h 59m;17999;N/A
Base Infrastructure;00:04:56:46:A8:98;48886-HOQK487;10.67.207.78;N/A;ePMP Force 300-19R SM;E6XD00R2X3BR;;4.6.1-RC14;1d 18h 38m;Offline;0d 14h 52m;53541;N/A
Base Infrastructure;00:04:56:46:A3:B2;47569-HOQK492;10.71.50.204;N/A;ePMP Force 300-19R SM;E6XD0025H7VX;;4.6.1-RC26;1d 19h 57m;Online;1d 19h 58m;158295;N/A
Base Infrastructure;00:04:56:46:A6:F0;SUC.Higueron_AP1;10.71.50.198;N/A;ePMP Force 300-19R AP;E6XD00J0MWTD;;4.6.1-RC26;1d 20h 5m;Online;1d 20h 6m;158766;N/A
Base Infrastructure;58:C1:7A:72:EE:8F;NOR.Via TIBU_AP_1;10.68.249.6;N/A;ePMP 3000L AP;E8XF0G9TCNQT;43492-ZIFV814;4.6.1-RC26;1d 20h 42m;Online;0d 3h 49m;13779;N/A
Base Infrastructure;00:04:56:46:AE:F4;F300-19R_46aef4 CD10008016;10.71.36.111;N/A;ePMP Force 300-19R SM;E6XD01N6BB1G;;4.6.1-RC26;1d 21h 49m;Offline;1d 19h 32m;156761;N/A
Base Infrastructure;00:04:56:27:D1:5D;Hui-Palestina-AP3;10.67.197.92;N/A;ePMP 3000L AP;E8WM0DK93545;;4.6.2;1d 22h 7m;Online;0d 16h 5m;57915;N/A
Base Infrastructure;58:C1:7A:4F:E0:36;47271-ZZY645;10.71.53.91;N/A;ePMP Force 200 SM;E8WM05PGG7LS;MAJAGUAL_SAN ROQUE;4.6.1;1d 22h 44m;Online;1d 22h 48m;168488;N/A
Base Infrastructure;58:C1:7A:72:EC:A9;NOR.Salazar_1_AP3;10.68.250.162;N/A;ePMP 3000L AP;E8XF0G4F6QM1;43138-ZIFV102;4.6.1-RC26;1d 23h 26m;Online;1d 23h 27m;170837;N/A
Base Infrastructure;00:04:56:27:6D:82;48899-ZGYO707_VDA NICOLAS RAMIRE;10.67.204.167;N/A;ePMP Force 300C SM;E8WL14DGD5GB;48899-ZGYO707;4.6.1-RC26;1d 23h 55m;Online;0d 16h 1m;57676;N/A
Base Infrastructure;00:04:56:46:A4:10;46131-ZCKE768 PALO GORDO PALMAR;10.68.253.230;N/A;ePMP Force 300-19R SM;E6XD003QV01N;46131-ZCKE768;4.6.1-RC26;2d 0h 22m;Online;0d 18h 55m;68137;N/A
Base Infrastructure;00:04:56:46:A8:B4;19237-HPQZ118_VDA. ALTO CHIRI-C.;10.68.229.167;N/A;ePMP Force 300-19R SM;;19237-HPQZ118;4.6.1-RC14;2d 17h 50m;Online;1d 17h 4m;147875;N/A
Base Infrastructure;00:04:56:46:A9:26;ANT.PESCADERO_AP3;10.68.229.166;N/A;ePMP Force 300-19R AP;;A0012-HPQZ118;4.6.1-RC14;2d 20h 0m;Online;1d 8h 51m;118304;N/A
Base Infrastructure;00:04:56:23:0B:6E;TOL. RIOMANSO AP3;10.67.203.8;N/A;ePMP 3000 AP;E8VG0MZHBDG9;;4.6.1-RC26;2d 22h 13m;Online;0d 9h 34m;34488;N/A
Base Infrastructure;58:C1:7A:71:2F:2E;TOL.NEME_AP5;10.67.204.166;N/A;ePMP 3000 AP;E8XB02RPV53T;48899-ZGYO707;4.6.1-RC26;3d 18h 31m;Online;0d 21h 26m;77207;N/A
Base Infrastructure;00:04:56:46:AF:D2;59617-KPWM263-RIOHACHA-MADRE VER;10.70.41.145;N/A;ePMP Force 300-19R SM;E6XD01RWXD6D;59617-KPWM263;4.6.1;4d 15h 33m;Offline;0d 23h 55m;86138;N/A
Base Infrastructure;58:C1:7A:72:6C:D6;RIO.Universidades_AP10;10.70.41.144;N/A;ePMP Force 300C AP;;59617-KPWM263-RIOHACHA-MADRE VERONICA;4.6.0.1;4d 15h 47m;Online;0d 12h 33m;45226;N/A
Base Infrastructure;BC:E6:7C:B1:3B:40;ANT-ITUANGO;10.68.214.46;N/A;cnMatrix TX2020R-P;XTYA01PS0ZMG;;4.0.1-r2;4d 20h 0m;Online;4d 19h 33m;416012;N/A
Base Infrastructure;00:04:56:46:AF:EC;18980-KPWM231 - ANT. SNJUAN URBA;10.68.213.37;N/A;ePMP Force 300-19R SM;E6XD01SBHXK3;18980-KPWM231;4.6.1-RC26;4d 21h 17m;Online;3d 23h 26m;343598;N/A
Base Infrastructure;00:04:56:46:A9:20;SND.Socorro AP_1;10.68.253.228;N/A;ePMP Force 300-19R AP;E6XD00TB5GFF;46131-ZCKE768;4.6.1-RC26;4d 22h 26m;Online;4d 22h 10m;425427;N/A
Base Infrastructure;58:C1:7A:74:86:B0;TOL.Palonegro_AP1;10.67.197.112;N/A;ePMP 3000L AP;E8YD0L642CN1;;4.6.1-RC26;4d 22h 48m;Online;0d 3h 48m;13683;N/A
Base Infrastructure;00:04:56:46:D3:8E;43414-ZIFV560;10.68.254.21;N/A;ePMP Force 300-19R SM;E6XE00SSWVXP;43414-ZIFV560 - NOR, TEORMA, SN JOSE;4.6.1-RC26;4d 23h 30m;Online;4d 23h 32m;430331;N/A
Base Infrastructure;58:C1:7A:71:93:71;36693-KPWM140;10.67.199.13;N/A;ePMP Force 300C SM;E8XB0GQLMTCC;;4.6.1-RC26;5d 2h 37m;Online;3d 14h 59m;313150;N/A
Base Infrastructure;58:C1:7A:72:40:AB;https://100.123.26.252;10.70.93.167;N/A;ePMP Force 300C SM;E8XE0DS1V8Z6;68291-HOQK389;4.6.1-RC26;5d 16h 53m;Online;0d 5h 27m;19638;N/A
Base Infrastructure;58:C1:7A:72:DD:73;ANT.San Jose de Apartado_AP1;10.68.215.164;N/A;ePMP Force 300C AP;E8XF0DP56VC2;ANT.San Jose de Apartado_AP1;4.6.1-RC26;5d 20h 38m;Online;4d 19h 13m;414790;N/A
Base Infrastructure;00:04:56:46:A6:62;ANT.Candelaria AP4;10.68.213.36;N/A;ePMP Force 300-19R AP;E6XD00FML3MH;18980-KPWN231;4.6.1-RC26;5d 22h 28m;Online;0d 0h 10m;633;N/A
Base Infrastructure;00:04:56:46:AB:B4;19652-HOKQ797-COCORNA-LA FLORIDA;10.68.215.213;N/A;ePMP Force 300-19R SM;E6XD016BC7MJ;19652-HOKQ797;4.6.1;6d 0h 38m;Online;4d 21h 48m;424128;N/A
Base Infrastructure;58:C1:7A:71:92:B4;37205-ZCKE628 _SAN AGUSTIN _VDA;10.67.199.14;N/A;ePMP Force 300C SM;;37205-ZCKE628;4.6.1-RC14;6d 18h 54m;Online;3d 9h 29m;293347;N/A
Base Infrastructure;00:04:56:46:4D:E6;ANT.Jerico_AP1;10.68.210.202;N/A;ePMP Force 300-19R AP;E6XA0CBKLBN1;20389-HPQZ177;4.6.1-RC26;6d 20h 37m;Online;5d 13h 0m;478839;N/A
Base Infrastructure;58:C1:7A:FA:DA:60;ANT-SAN-ROQUE;10.68.224.158;N/A;cnMatrix EX1010;XMXDMNL49TDB;;4.0.1-r2;6d 20h 51m;Online;6d 22h 45m;600312;N/A
Base Infrastructure;00:04:56:46:5C:0B;70582-HOQK187;10.67.200.152;N/A;ePMP Force 300-19R SM;;MARACAIBO-PUESTO DE SALUD MARACAIBO;4.6.1-RC14;6d 21h 40m;Online;5d 17h 50m;496204;N/A
Base Infrastructure;00:04:56:46:B0:AA;30998-KPWM306_TAMALAMEQUE_I.E. A;10.70.41.215;N/A;ePMP Force 300-19R SM;E6XD01WHRT6G;30998-KPWM306;4.6.1-RC26;6d 22h 38m;Online;6d 0h 9m;518945;N/A
Base Infrastructure;58:C1:7A:71:2D:3E;TOL_CAMPOALEGRE_AP2;10.67.200.150;N/A;ePMP 3000 AP;;70582-HOQK187;4.6.1-RC14;7d 17h 6m;Online;1d 21h 21m;163261;N/A
Base Infrastructure;00:04:56:46:AE:DA;ANT.San Francisco_AP2;10.68.215.212;N/A;ePMP Force 300-19R AP;E6XD01MRMWVZ;19652-HOKQ797;4.6.1-RC26;7d 17h 45m;Online;1d 18h 17m;152273;N/A
Base Infrastructure;58:C1:7A:72:65:CE;43295-ZIFV937_SEDE GALLINETAS;10.68.252.235;N/A;ePMP Force 300C SM;E8XF01CDWMV8;43295-ZIFV937;4.6.1-RC26;7d 18h 25m;Online;5d 5h 14m;450849;N/A
Base Infrastructure;58:C1:7A:72:66:58;NOR.sardinata_43295;10.68.252.234;N/A;ePMP Force 300C AP;E8XF01DXQ2QS;43295-ZIFV937;4.6.1-RC26;7d 18h 32m;Online;3d 11h 11m;299489;60 Meters
Base Infrastructure;58:C1:7A:71:2B:3A;TOL.Tres Esquinas _49593-KPWM372;10.67.195.242;N/A;ePMP 3000 AP;E8XA0ZVP3NXW;49593-KPWM372;4.6.1-RC26;7d 20h 28m;Online;0d 1h 26m;5198;N/A
Base Infrastructure;58:C1:7A:51:F6:84;COR_CALAO;10.71.52.76;N/A;ePMP Force 200 AP;E8XJ0RTGJ9MC;;4.6.2;7d 20h 30m;Online;2d 5h 55m;194133;N/A
Base Infrastructure;00:04:56:46:B0:22;19255-HPQZ139-BURITICA-E. R. EL;10.68.226.171;N/A;ePMP Force 300-19R SM;E6XD01T7B407;E.R EL LEON;4.6.1-RC26;7d 20h 31m;Online;1d 14h 1m;136881;N/A
Base Infrastructure;00:04:56:46:A9:E4;49593-KPWM372_ TOL.Tres Esquinas;10.67.195.243;N/A;ePMP Force 300-19R SM;E6XD00XL781Q;49593-KPWM372;4.6.1-RC26;7d 20h 33m;Online;5d 4h 18m;447513;N/A
Base Infrastructure;00:04:56:46:44:B0;36128-KPWM135 ACEVEDO VDA EL PAR;10.67.196.107;N/A;ePMP Force 300-19R SM;E6XA0B188RBX;;4.6.1-RC26;7d 20h 33m;Online;4d 19h 53m;417191;N/A
Base Infrastructure;58:C1:7A:71:F8:2C;31083-VZVF865;10.71.37.173;N/A;ePMP Force 300C SM;E8XE04PXN60D;;4.6.0.1;7d 20h 39m;Offline;1d 19h 16m;155770;N/A
Base Infrastructure;00:04:56:46:A8:88;ANT-BURITICA-AP2;10.68.226.170;N/A;ePMP Force 300-19R AP;E6XD00QS68TK;19255-HPQZ139;4.6.1-RC26;7d 20h 45m;Online;0d 1h 29m;5363;N/A
Base Infrastructure;00:04:56:46:A4:4A;47127-HPQZ037_EL ROBLE_EL SITIO;10.70.119.197;N/A;ePMP Force 300-19R SM;E6XD004PZ8QX;47127-HPQZ037_EL ROBLE_EL SITIO;4.6.1;7d 23h 20m;Online;7d 21h 1m;680484;N/A
Base Infrastructure;00:04:56:46:A7:64;SUC.GALERAS AP2;10.70.119.196;N/A;ePMP Force 300-19R AP;E6XD00KX8XFG;;4.6.1;7d 23h 33m;Online;7d 23h 34m;689653;N/A
Base Infrastructure;00:04:56:46:AA:4E;60403-DEMO111_BARICHARA_VRDA SAN;10.68.250.14;N/A;ePMP Force 300-19R SM;E6XD010CMPVB;60403-DEMO111;4.6.1-RC26;8d 1h 41m;Online;0d 1h 29m;5391;N/A
Base Infrastructure;00:04:56:42:89:7E;11133-VZVF747_JUAN DE ACOSTA_SAN;10.70.40.131;N/A;ePMP Force 300-19R SM;E6VG0C7N3HZ5;11133-VZVF747;4.6.1-RC26;8d 1h 50m;Online;8d 0h 13m;691982;N/A
Base Infrastructure;00:04:56:46:4E:F2;37165-KPWM644;10.67.202.25;N/A;ePMP Force 300-19R SM;E6XA0CH1BDD3;SALADOBLANCO_VDA PIEDRATAJADA;4.6.1-RC26;8d 2h 34m;Online;1d 4h 36m;102996;N/A
Base Infrastructure;00:04:56:46:5D:71;45868-VZVF814;10.68.255.75;N/A;ePMP Force 300-19R SM;E6XB05Z0D99G;ESCUELA_RURAL_MANCHADORES;4.6.1-RC26;8d 2h 53m;Online;8d 2h 53m;701625;N/A
Base Infrastructure;58:C1:7A:73:0D:DC;SND.Barichara_AP6;10.68.250.13;N/A;ePMP 3000L AP;E8XF0K8VXNFL;;4.6.1-RC26;8d 17h 20m;Online;7d 17h 8m;666537;N/A
Base Infrastructure;00:04:56:42:71:CE;ATL.Santa Veronica-2;10.70.40.130;N/A;ePMP Force 300-19R AP;E6VG00W91VLW;11133-VZVF747;4.6.1-RC26;8d 18h 41m;Online;8d 18h 43m;758623;N/A
Base Infrastructure;00:04:56:46:3D:9A;38586-HPQZ653;10.67.195.35;N/A;ePMP Force 300-19R SM;E6XA0911M5Z7;VILLAVICENCIO_VDA LA CECILIA;4.6.1-RC26;8d 19h 11m;Online;7d 19h 42m;675761;N/A
Base Infrastructure;00:04:56:46:A4:7C;SUC.Covenas-2_AP1;10.71.52.74;N/A;ePMP Force 300-19R AP;E6XD005J9Z06;32337-VZVF997;4.6.1-RC26;8d 19h 43m;Online;0d 22h 43m;81797;N/A
Base Infrastructure;00:04:56:46:5B:75;47618-ZGYO840;10.71.54.105;N/A;ePMP Force 300-19R SM;E6XB05NJZQQQ;;4.6.1-RC26;8d 19h 52m;Online;0d 3h 45m;13523;N/A
Base Infrastructure;00:04:56:46:5E:1D;MET.APIAY-2-10008104;10.67.195.34;N/A;ePMP Force 300-19R AP;E6XB061V8GPB;;4.6.1-RC26;8d 21h 24m;Online;2d 7h 53m;201211;N/A
Base Infrastructure;00:04:56:42:9D:3C;74118-KPWM786_CHIMA_ROSA VIEJA;10.71.55.22;N/A;ePMP Force 300-19R SM;E6VH038R599R;74118-KPWM786;4.6.1-RC26;8d 22h 40m;Online;1d 18h 43m;153808;N/A
Base Infrastructure;00:04:56:42:72:52;30759-HOQK227;10.70.88.243;N/A;ePMP Force 300-19R SM;E6VG00ZH8LB1;PELAYA_COSTILLA;4.6.1-RC26;8d 23h 50m;Online;0d 15h 40m;56405;N/A
Base Infrastructure;00:04:56:46:A9:42;Ces_costilla_AP3;10.70.88.242;N/A;ePMP Force 300-19R AP;E6XD00TWR7R1;;4.6.1-RC14;9d 1h 28m;Online;0d 22h 17m;80235;N/A
Base Infrastructure;58:C1:7A:72:11:C5;BCA.Km 16;10.65.184.68;N/A;ePMP Force 300C AP;E8XE07JKCKZC;44774-ZCKE837;4.6.1-RC26;9d 1h 45m;Online;3d 8h 51m;291112;N/A
Base Infrastructure;00:04:56:42:29:0A;48721-ZGYO357;10.67.204.30;N/A;ePMP Force 300-19R SM;E6VE088XML04;LAS_DELICIAS;4.6.1-RC26;9d 2h 30m;Online;4d 2h 41m;355305;N/A
Base Infrastructure;00:04:56:46:49:44;22019-KPWM238;10.68.224.29;N/A;ePMP Force 300-19R SM;E6XA0BNS40SR;22019-KPWM238;4.6.1-RC26;9d 2h 44m;Online;9d 2h 48m;787739;N/A
Base Infrastructure;00:04:56:46:4B:98;ANT.CAMPAMENTO AP1;10.68.231.98;N/A;ePMP Force 300-19R AP;E6XA0C0Q7N5X;;4.6.1-RC26;10d 22h 1m;Online;2d 23h 14m;256471;N/A
Base Infrastructure;00:04:56:46:B0:26;pozoo nutrias2 ID 10002516;10.68.249.147;N/A;ePMP Force 300-19R SM;E6XD01T93708;70777-HOQK285;4.6.1-RC26;10d 23h 27m;Online;10d 20h 37m;938257;N/A
Base Infrastructure;00:04:56:46:B0:2A;SND.LALIZAMA-10002516;10.68.249.146;N/A;ePMP Force 300-19R AP;E6XD01TCH423;70777-HOQK285;4.6.1-RC26;10d 23h 41m;Online;6d 0h 5m;518735;N/A
Base Infrastructure;58:C1:7A:72:43:C3;73758-VZVF895_KUISA;10.70.95.115;N/A;ePMP Force 300C SM;E8XE0F2TZWQR;;4.6.0.1;11d 0h 13m;Online;0d 0h 26m;1576;N/A
Base Infrastructure;00:04:56:46:A3:78;31086-HPQZ639-MONTERIA_LOS_PANTA;10.71.34.27;N/A;ePMP Force 300-19R SM;E6XD0016S6NF;MONTERÍA_VDA LOS PANTANOS;4.6.1-RC26;11d 0h 15m;Offline;5d 19h 7m;500824;N/A
Base Infrastructure;00:04:56:46:A4:8E;COR.CUCHARAL-AP4;10.71.34.26;N/A;ePMP Force 300-19R AP;E6XD005TB9LM;31086-HPQZ639;4.6.1;11d 0h 46m;Online;0d 1h 21m;4873;N/A
Base Infrastructure;00:04:56:46:A3:94;CES.ZAPATOSA AP5;10.70.41.214;N/A;ePMP Force 300-19R AP;E6XD001N3VTS;30998-KPWM306;4.6.1-RC26;11d 0h 50m;Online;6d 23h 32m;603157;N/A
Base Infrastructure;00:04:56:46:A9:1E;SND.Sabana grande;10.67.194.98;N/A;ePMP Force 300-19R AP;E6XD00T9CV62;46889-HOQK213;4.6.1-RC26;11d 0h 58m;Online;0d 20h 44m;74691;N/A
Base Infrastructure;BC:E6:7C:B1:3E:00;COR-PUEBLECITO;10.71.33.254;N/A;cnMatrix TX2020R-P;XTYA01QJNDJG;;4.1.0-300;11d 1h 12m;Online;8d 0h 41m;693678;N/A
Base Infrastructure;00:04:56:22:D1:78;COR SANTADER DE LA CRUZ AP3;10.71.35.230;N/A;ePMP 3000L AP;E8VF0QRD1ZJR;;4.6.1-RC26;11d 2h 34m;Online;0d 17h 58m;64689;N/A
Base Infrastructure;00:04:56:47:03:58;99172-HPQZ130-BELALCAZAR-ESCUELA;10.68.245.117;N/A;ePMP Force 300-19R SM;E6XF056MTZR0;99172-HPQZ130;4.6.1-RC26;11d 2h 53m;Online;8d 21h 47m;769671;N/A
Base Infrastructure;58:C1:7A:51:F7:3C;31646-ZGYO800;10.71.34.140;N/A;ePMP Force 200 SM;E8XJ0RXJK711;31646-ZGYO800_P_NUEVO_RABO_PELAO;4.6.2;11d 17h 5m;Offline;0d 17h 1m;61311;N/A
Base Infrastructure;58:C1:7A:72:6E:9E;43343-ZIFV550;10.68.250.75;N/A;ePMP Force 300C SM;;SARDINATA_LUIS VERO;4.6.1-RC14;11d 17h 34m;Online;4d 8h 4m;374683;N/A
Base Infrastructure;00:04:56:46:5E:0F;GUJ.KATANAMANA_AP7;10.70.95.114;N/A;ePMP Force 300-19R AP;E6XB061MRNNN;73758-VZVF895;4.6.1-RC26;11d 17h 54m;Online;11d 17h 55m;1014937;N/A
Base Infrastructure;58:C1:7A:72:11:FB;MAG.Cabrito_AP1;10.70.40.194;N/A;ePMP Force 300C AP;E8XE07K5506T;59326-ZZZY496;4.6.1-RC26;11d 19h 5m;Online;8d 21h 3m;767014;N/A
Base Infrastructure;58:C1:7A:71:F6:25;CES.Chimila_AP4;10.70.43.139;N/A;ePMP 3000 AP;E8XE04KH3NQW;;4.6.1-RC26;11d 20h 29m;Online;1d 11h 41m;128497;N/A
Base Infrastructure;00:04:56:42:8A:DE;37167-HPQZ106;10.66.97.179;N/A;ePMP Force 300-19R SM;E6VG0CFJ0P9N;SALADOBLANCO_VDA BAJO GIRASOL;4.6.1-RC26;11d 21h 6m;Online;8d 20h 16m;764162;N/A
Base Infrastructure;00:04:56:42:86:D2;31067-VZVF058;10.71.35.89;N/A;ePMP Force 300-19R SM;E6VG0BV87GBR;;4.6.1-RC26;11d 21h 9m;Online;9d 3h 20m;789639;N/A
Base Infrastructure;00:04:56:46:43:24;21971-HOQK280_Turbo_VDA Los Coqu;10.68.210.43;N/A;ePMP Force 300-19R SM;E6XA09SNMTZG;21971-HOQK280;4.6.1-RC26;11d 21h 9m;Offline;5d 20h 42m;506540;N/A
Base Infrastructure;58:C1:7A:71:E4:55;44732-VZVF205;10.68.248.139;N/A;ePMP Force 300C SM;E8XE02X1VVN2;BARBOSA_VEREDA SANTA ROSA;4.6.1-RC26;11d 21h 25m;Online;7d 21h 6m;680793;N/A
Base Infrastructure;00:04:56:27:DB:65;SND.Granadillo_AP3;10.68.248.138;N/A;ePMP Force 300C AP;E8WM0GDHZ7KD;44732-VZVF205;4.6.1-RC26;11d 21h 32m;Online;2d 6h 39m;196767;N/A
Base Infrastructure;58:C1:7A:72:CB:BE;ANT.Palomar;10.68.214.74;N/A;ePMP 3000L AP;;;4.6.1-RC14;11d 21h 45m;Offline;6d 14h 18m;569886;N/A
Base Infrastructure;00:04:56:46:A7:6C;19643-VZVF957;10.68.224.157;N/A;ePMP Force 300-19R SM;E6XD00L29D75;CISNEROS_CER_EL_SILENCIO;4.6.1-RC26;11d 22h 4m;Online;1d 4h 51m;103896;N/A
Base Infrastructure;58:C1:7A:FA:3B:60;CES-CHIMILA;10.70.43.142;N/A;cnMatrix EX1010;XMXCMMHG0KZR;;4.1.0-300;11d 22h 35m;Online;1d 11h 41m;128480;N/A
Base Infrastructure;00:04:56:46:AB:4C;SUC.Betulia_AP2;10.71.52.184;N/A;ePMP Force 300-19R AP;E6XD014LQ52Q;47510-ZZZY594;4.6.1-RC26;11d 22h 37m;Online;2d 0h 21m;174102;N/A
Base Infrastructure;00:04:56:46:4D:58;47614-ZGYO839;10.71.54.103;N/A;ePMP Force 300-19R SM;;47614-ZGYO839_SAN_FRANCISCO;4.6.1-RC14;11d 23h 32m;Online;10d 2h 11m;871879;N/A
Base Infrastructure;58:C1:7A:72:EC:D9;SUC.Sabanas de Beltran_AP1;10.71.54.104;N/A;ePMP 3000L AP;E8XF0G4Z640S;47618-ZGYO840, 47614-ZGYO839;4.6.1-RC26;11d 23h 38m;Online;3d 23h 20m;343220;N/A
Base Infrastructure;00:04:56:42:71:FA;37232-VZVF260;10.67.200.35;N/A;ePMP Force 300-19R SM;E6VG00X15987;;4.6.1-RC26;12d 1h 14m;Offline;3d 22h 13m;339210;N/A
Base Infrastructure;00:04:56:46:47:44;HUI.CAPILLAS;10.66.97.178;N/A;ePMP Force 300-19R AP;E6XA0BD8H31M;3717-HPQZ10;4.6.1-RC26;12d 1h 34m;Online;0d 4h 8m;14882;N/A
Base Infrastructure;58:C1:7A:50:8B:E8;COR.Cucharal_AP5;10.71.39.136;N/A;ePMP Force 200 AP;E8XA0ZQDQN96;;4.6.2;12d 1h 41m;Online;0d 1h 20m;4846;N/A
Base Infrastructure;58:C1:7A:72:67:3C;31296-ZGYO987_BUENAVISTA_ESC LAS;10.68.229.109;N/A;ePMP Force 300C SM;E8XF01HGTQ3T;31296-ZGYO987_BUENAVISTA_ESC LAS MARIAS;4.6.1-RC26;12d 1h 41m;Offline;10d 9h 31m;898314;N/A
